City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Caravelas,BR,2021-12-07 10:38:34,-17.7125,-39.2481,72.03,94,100,4.7
1,Sao Filipe,CV,2021-12-07 10:38:35,14.8961,-24.4956,78.19,65,95,6.31
2,Zyryanskoye,RU,2021-12-07 10:38:35,56.8306,86.6258,26.13,93,100,9.78
3,Punta Arenas,CL,2021-12-07 10:37:33,-53.15,-70.9167,44.71,65,75,25.32
4,Bredasdorp,ZA,2021-12-07 10:40:10,-34.5322,20.0403,74.52,46,40,9.22
5,Pantelho,MX,2021-12-07 10:38:37,16.9333,-92.55,55.36,77,5,2.37
6,Rikitea,PF,2021-12-07 10:40:11,-23.1203,-134.9692,74.75,82,83,19.1
7,Nevel,RU,2021-12-07 10:40:12,56.0209,29.9284,19.26,91,91,6.42
8,Lukovetskiy,RU,2021-12-07 10:38:38,64.2956,41.9211,1.38,99,48,3.38
9,Igrim,RU,2021-12-07 10:40:12,63.1906,64.4162,9.01,91,100,5.66
10,East London,ZA,2021-12-07 10:38:39,-33.0153,27.9116,70.74,73,75,6.91
11,Busselton,AU,2021-12-07 10:38:39,-33.65,115.3333,85.08,38,0,13.09
12,Mataura,NZ,2021-12-07 10:40:13,-46.1927,168.8643,46.24,97,4,1.14
13,Sitka,US,2021-12-07 10:38:40,57.0531,-135.33,35.49,80,90,13.8
14,Avarua,CK,2021-12-07 10:38:41,-21.2078,-159.775,75.25,94,75,3.44
15,Saint-Philippe,RE,2021-12-07 10:38:41,-21.3585,55.7679,87.39,70,27,11.16
16,Esperance,AU,2021-12-07 10:38:42,-33.8667,121.9,66.04,67,0,26.04
17,Mar Del Plata,AR,2021-12-07 10:38:42,-38.0023,-57.5575,64.87,87,0,13.0
18,Ushuaia,AR,2021-12-07 10:38:43,-54.8,-68.3,44.26,61,40,31.07
19,Bengkulu,ID,2021-12-07 10:38:43,-3.8004,102.2655,79.21,85,93,6.53
20,Mackenzie,CA,2021-12-07 10:38:44,55.2999,-123.1698,16.02,86,90,5.75
21,Yenagoa,NG,2021-12-07 10:38:44,4.9247,6.2642,90.64,56,91,1.28
22,Vilyuysk,RU,2021-12-07 10:38:45,63.7553,121.6247,-38.97,100,59,2.37
23,Ruston,US,2021-12-07 10:38:45,32.5232,-92.6379,42.85,60,90,5.75
24,Novyy Urengoy,RU,2021-12-07 10:38:41,66.0833,76.6333,-9.45,99,86,8.97
25,Tautira,PF,2021-12-07 10:38:46,-17.7333,-149.15,78.82,75,100,11.12
26,Vanimo,PG,2021-12-07 10:38:46,-2.6741,141.3028,80.17,85,100,2.35
27,Brazzaville,CG,2021-12-07 10:38:47,-4.2658,15.2832,89.29,58,91,2.13
28,Kaitangata,NZ,2021-12-07 10:38:47,-46.2817,169.8464,49.48,96,21,3.18
29,Albany,US,2021-12-07 10:34:58,42.6001,-73.9662,34.48,62,57,1.01
30,Barrow,US,2021-12-07 10:38:48,71.2906,-156.7887,19.42,79,1,13.8
31,Colinas,BR,2021-12-07 10:38:48,-6.0258,-44.2492,80.67,77,12,2.1
32,Totness,SR,2021-12-07 10:38:48,5.8833,-56.3167,76.03,91,99,3.44
33,Aklavik,CA,2021-12-07 10:38:49,68.2191,-135.0107,16.52,85,100,5.26
34,Carnarvon,AU,2021-12-07 10:38:49,-24.8667,113.6333,77.07,78,4,13.8
35,Abu Dhabi,AE,2021-12-07 10:34:55,24.4667,54.3667,78.91,57,20,1.01
36,North Myrtle Beach,US,2021-12-07 10:38:50,33.816,-78.68,60.85,93,75,0.0
37,Dikson,RU,2021-12-07 10:38:50,73.5069,80.5464,-12.78,100,97,4.23
38,Odweyne,SO,2021-12-07 10:38:51,9.4092,45.064,83.19,17,58,4.72
39,Upernavik,GL,2021-12-07 10:38:51,72.7868,-56.1549,16.81,93,99,6.4
40,Joppatowne,US,2021-12-07 10:38:52,39.4579,-76.3552,36.05,65,1,3.0
41,Namatanai,PG,2021-12-07 10:38:52,-3.6667,152.4333,78.22,90,100,6.64
42,Nome,US,2021-12-07 10:38:52,64.5011,-165.4064,15.87,86,90,12.66
43,Kangasala,FI,2021-12-07 10:38:54,61.4638,24.076,9.14,86,66,3.33
44,Geraldton,AU,2021-12-07 10:38:54,-28.7667,114.6,81.01,57,2,8.05
45,Malatya,TR,2021-12-07 10:38:54,38.5,38.0,46.45,62,0,4.61
46,Karatau,KZ,2021-12-07 10:38:55,43.1667,70.4667,47.46,58,98,2.82
47,Kapaa,US,2021-12-07 10:38:56,22.0752,-159.319,69.78,87,75,9.22
48,Port Elizabeth,ZA,2021-12-07 10:41:20,-33.918,25.5701,70.09,56,0,10.36
49,Quatre Cocos,MU,2021-12-07 10:41:20,-20.2078,57.7625,84.31,62,5,12.95
50,Tasiilaq,GL,2021-12-07 10:41:20,65.6145,-37.6368,30.36,85,100,7.61
51,Narsaq,GL,2021-12-07 10:41:21,60.9167,-46.05,16.02,72,2,6.58
52,Samarai,PG,2021-12-07 10:41:21,-10.6167,150.6667,82.24,76,88,8.08
53,Khatanga,RU,2021-12-07 10:41:22,71.9667,102.5,-8.63,98,100,8.25
54,Port Alfred,ZA,2021-12-07 10:41:22,-33.5906,26.891,69.39,75,63,10.04
55,Puerto Del Rosario,ES,2021-12-07 10:41:23,28.5004,-13.8627,65.95,77,40,8.05
56,Okhotsk,RU,2021-12-07 10:41:23,59.3833,143.3,-19.35,88,4,14.7
57,Flin Flon,CA,2021-12-07 10:41:24,54.7682,-101.865,-4.97,94,100,1.68
58,Atuona,PF,2021-12-07 10:41:24,-9.8,-139.0333,77.95,76,13,17.09
59,Hermanus,ZA,2021-12-07 10:41:25,-34.4187,19.2345,72.81,70,25,16.82
60,Fernandina Beach,US,2021-12-07 10:41:25,30.6697,-81.4626,65.01,92,1,1.01
61,Sechura,PE,2021-12-07 10:41:26,-5.5569,-80.8222,65.55,85,72,9.06
62,Frederico Westphalen,BR,2021-12-07 10:38:48,-27.3592,-53.3944,73.63,57,0,10.07
63,Arraial Do Cabo,BR,2021-12-07 10:40:33,-22.9661,-42.0278,75.06,83,75,6.91
64,Galle,LK,2021-12-07 10:39:35,6.0367,80.217,80.91,79,79,5.3
65,Grahamstown,ZA,2021-12-07 10:41:27,-33.3042,26.5328,65.23,74,91,12.01
66,Tanout,NE,2021-12-07 10:41:27,14.9709,8.8879,81.16,10,45,19.26
67,Cockburn Town,TC,2021-12-07 10:36:43,21.4612,-71.1419,80.49,75,0,18.45
68,Kodiak,US,2021-12-07 10:39:38,57.79,-152.4072,33.31,60,40,18.41
69,Kenai,US,2021-12-07 10:36:45,60.5544,-151.2583,34.03,92,90,23.02
70,Constitucion,CL,2021-12-07 10:41:28,-35.3333,-72.4167,55.31,80,71,7.31
71,Provideniya,RU,2021-12-07 10:41:29,64.3833,-173.3,3.74,84,96,8.08
72,Thompson,CA,2021-12-07 10:41:29,55.7435,-97.8558,-38.04,74,1,2.3
73,Puerto Ayora,EC,2021-12-07 10:41:30,-0.7393,-90.3518,67.01,89,99,7.0
74,Alindao,CF,2021-12-07 10:41:30,5.0267,21.2088,97.41,26,100,3.51
75,Chokurdakh,RU,2021-12-07 10:41:30,70.6333,147.9167,-22.11,99,100,3.47
76,Cabo San Lucas,MX,2021-12-07 10:39:42,22.8909,-109.9124,72.52,80,72,5.73
77,Torres,BR,2021-12-07 10:37:49,-29.3353,-49.7269,64.83,77,94,5.57
78,Saskylakh,RU,2021-12-07 10:41:32,71.9167,114.0833,-10.66,97,100,6.35
79,New Norfolk,AU,2021-12-07 10:41:32,-42.7826,147.0587,51.3,54,26,2.44
80,Canmore,CA,2021-12-07 10:41:12,51.0834,-115.3521,14.11,78,100,5.75
81,Polunochnoye,RU,2021-12-07 10:41:33,60.8697,60.4153,-5.03,94,42,4.85
82,Suleja,NG,2021-12-07 10:41:33,9.1758,7.1808,93.47,18,93,3.31
83,Hobart,AU,2021-12-07 10:36:35,-42.8794,147.3294,51.66,70,20,10.36
84,Codrington,AU,2021-12-07 10:41:34,-38.2667,141.9667,51.28,69,20,12.3
85,Talnakh,RU,2021-12-07 10:41:35,69.4865,88.3972,-11.79,98,100,6.85
86,Greenville,US,2021-12-07 10:41:35,35.6127,-77.3663,57.22,34,90,4.0
87,Boyuibe,BO,2021-12-07 10:41:35,-20.4167,-63.2833,69.71,73,99,4.59
88,Ler,SS,2021-12-07 10:41:36,8.3018,30.1418,99.99,13,88,6.67
89,Bambous Virieux,MU,2021-12-07 10:41:37,-20.3428,57.7575,84.45,58,40,10.36
90,Pacific Grove,US,2021-12-07 10:38:29,36.6177,-121.9166,53.96,92,90,1.01
91,Hasaki,JP,2021-12-07 10:41:37,35.7333,140.8333,54.0,75,59,26.22
92,Faanui,PF,2021-12-07 10:42:38,-16.4833,-151.75,81.32,71,100,9.46
93,Cape Town,ZA,2021-12-07 10:42:38,-33.9258,18.4232,73.09,58,20,5.01
94,Nikolskoye,RU,2021-12-07 10:42:39,59.7035,30.7861,11.39,96,97,4.07
95,Plouzane,FR,2021-12-07 10:42:39,48.3833,-4.6167,53.69,97,90,25.32
96,Meulaboh,ID,2021-12-07 10:42:39,4.1363,96.1285,82.0,73,38,3.27
97,Kavaratti,IN,2021-12-07 10:42:40,10.5669,72.642,80.44,67,2,10.74
98,Tuktoyaktuk,CA,2021-12-07 10:42:41,69.4541,-133.0374,13.78,85,96,12.26
99,Ondjiva,AO,2021-12-07 10:42:41,-17.0667,15.7333,87.84,20,75,9.22
100,Mount Gambier,AU,2021-12-07 10:42:42,-37.8333,140.7667,49.91,71,67,9.22
101,Nishihara,JP,2021-12-07 10:42:42,26.1842,127.7558,69.08,75,75,10.36
102,Jamestown,US,2021-12-07 10:40:58,42.097,-79.2353,31.32,92,90,7.0
103,Belmonte,BR,2021-12-07 10:42:43,-15.8631,-38.8828,77.5,82,98,9.19
104,Narodychi,UA,2021-12-07 10:42:43,51.2029,29.0823,32.31,93,100,8.01
105,Muborak,UZ,2021-12-07 10:42:43,39.2553,65.1528,57.6,34,7,11.92
106,Ligayan,PH,2021-12-07 10:42:44,4.6533,119.4706,82.81,75,100,14.03
107,Vao,NC,2021-12-07 10:42:44,-22.6667,167.4833,78.35,81,0,7.49
108,Airai,TL,2021-12-07 10:42:45,-8.9266,125.4092,63.19,93,90,1.54
109,Cidreira,BR,2021-12-07 10:42:45,-30.1811,-50.2056,70.3,55,49,11.07
110,Lebu,CL,2021-12-07 10:42:46,-37.6167,-73.65,56.53,77,83,10.69
111,Rapar,IN,2021-12-07 10:42:46,23.5667,70.6333,81.7,36,3,8.3
112,Lorengau,PG,2021-12-07 10:42:46,-2.0226,147.2712,82.47,81,100,16.02
113,Kuytun,RU,2021-12-07 10:42:47,54.3419,101.5036,12.65,93,74,2.1
114,Kuusamo,FI,2021-12-07 10:42:47,65.9667,29.1833,8.64,78,20,6.91
115,Harper,LR,2021-12-07 10:42:48,4.375,-7.7169,82.83,73,39,6.96
116,Egvekinot,RU,2021-12-07 10:42:48,66.3167,-179.1667,-4.31,98,99,3.69
117,Lubango,AO,2021-12-07 10:42:48,-14.9172,13.4925,76.86,36,75,6.91
118,Port Hedland,AU,2021-12-07 10:42:49,-20.3167,118.5667,93.25,46,6,8.05
119,Portland,US,2021-12-07 10:42:49,45.5234,-122.6762,51.46,95,90,8.05
120,Muzhi,RU,2021-12-07 10:42:50,65.3667,64.6667,9.07,77,28,15.68
121,Pierre,US,2021-12-07 10:42:25,44.3683,-100.351,18.52,65,90,5.99
122,Castro,BR,2021-12-07 10:42:50,-24.7911,-50.0119,58.73,92,90,8.88
123,Changzhou,CN,2021-12-07 10:42:06,31.7833,119.9667,52.97,60,81,12.26
124,Jalu,LY,2021-12-07 10:42:51,29.0331,21.5482,60.64,29,0,25.1
125,Manggar,ID,2021-12-07 10:42:51,-2.8833,108.2667,80.46,83,100,8.81
126,Chillicothe,US,2021-12-07 10:42:52,39.3331,-82.9824,23.49,61,1,0.0
127,Butaritari,KI,2021-12-07 10:42:52,3.0707,172.7902,82.83,77,100,14.5
128,San Patricio,US,2021-12-07 10:42:53,28.017,-97.5169,59.09,45,100,7.9
129,Alofi,NU,2021-12-07 10:42:53,-19.0595,-169.9187,75.09,94,100,10.36
130,Atlantic Beach,US,2021-12-07 10:42:54,30.3344,-81.3987,65.05,94,75,5.75
131,Lagoa,PT,2021-12-07 10:42:54,39.05,-27.9833,60.64,63,96,16.46
132,Northam,GB,2021-12-07 10:42:54,51.0333,-4.2167,48.9,92,100,17.49
133,Fortuna,US,2021-12-07 10:42:55,40.5982,-124.1573,50.36,76,90,1.99
134,Touros,BR,2021-12-07 10:42:55,-5.1989,-35.4608,79.7,65,10,14.76
135,Atasu,KZ,2021-12-07 10:42:56,48.6814,71.6433,19.18,93,100,3.87
136,Naryan-Mar,RU,2021-12-07 10:42:56,67.6713,53.087,2.23,97,59,6.11
137,Klaksvik,FO,2021-12-07 10:42:57,62.2266,-6.589,40.12,79,99,24.58
138,Pevek,RU,2021-12-07 10:42:57,69.7008,170.3133,-10.07,94,100,7.63
139,Vaini,TO,2021-12-07 10:42:57,-21.2,-175.2,75.36,94,40,8.05
140,Victoria,HK,2021-12-07 10:39:00,22.2855,114.1577,71.26,70,38,4.0
141,Eskil,TR,2021-12-07 10:43:58,38.4017,33.4131,59.45,34,0,24.14
142,Kahului,US,2021-12-07 10:43:59,20.8947,-156.47,76.84,91,40,5.75
143,Salalah,OM,2021-12-07 10:43:59,17.0151,54.0924,82.49,42,0,11.5
144,Saldanha,ZA,2021-12-07 10:44:00,-33.0117,17.9442,73.45,75,12,15.46
145,Hithadhoo,MV,2021-12-07 10:44:00,-0.6,73.0833,82.31,78,93,16.22
146,Grindavik,IS,2021-12-07 10:44:01,63.8424,-22.4338,28.87,80,20,10.36
147,Murray Bridge,AU,2021-12-07 10:44:01,-35.1167,139.2667,59.43,62,20,13.71
148,Inhambane,MZ,2021-12-07 10:44:02,-23.865,35.3833,91.38,55,40,16.11
149,Chuy,UY,2021-12-07 10:44:02,-33.6971,-53.4616,67.21,61,74,9.4
150,Quballat,TN,2021-12-07 10:44:03,36.5418,9.6633,61.02,62,49,23.85
151,Beringovskiy,RU,2021-12-07 10:44:03,63.05,179.3167,-13.25,91,31,4.21
152,Khorixas,NA,2021-12-07 10:44:03,-20.3667,14.9667,90.59,6,0,8.93
153,Bonthe,SL,2021-12-07 10:44:04,7.5264,-12.505,85.5,67,42,4.54
154,Udachnyy,RU,2021-12-07 10:44:05,66.4167,112.4,-17.55,75,99,3.02
155,Georgetown,MY,2021-12-07 10:44:05,5.4112,100.3354,87.75,66,20,8.01
156,Iskateley,RU,2021-12-07 10:44:05,67.6803,53.1512,1.69,97,62,6.04
157,Rolla,US,2021-12-07 10:44:06,37.9514,-91.7713,29.01,56,1,3.0
158,Sao Joao Da Barra,BR,2021-12-07 10:44:07,-21.6403,-41.0511,73.49,82,88,11.43
159,Bonavista,CA,2021-12-07 10:44:07,48.6499,-53.1147,47.12,91,100,31.41
160,Cacador,BR,2021-12-07 10:44:07,-26.7753,-51.015,61.7,75,92,6.49
161,Byron Bay,AU,2021-12-07 10:44:08,-28.65,153.6167,76.95,86,13,6.8
162,Muli,MV,2021-12-07 10:44:08,2.9167,73.5667,83.16,73,91,10.2
163,Agirish,RU,2021-12-07 10:44:09,61.9247,63.0231,4.28,90,54,8.41
164,Berezanka,UA,2021-12-07 10:44:09,46.8526,31.388,52.21,91,100,6.89
165,Ann Arbor,US,2021-12-07 10:41:50,42.2776,-83.7409,22.39,78,1,1.99
166,Katangli,RU,2021-12-07 10:44:10,51.7102,143.2326,12.42,83,1,10.29
167,Lhokseumawe,ID,2021-12-07 10:44:10,5.1801,97.1507,80.22,78,42,7.76
168,Mitu,CO,2021-12-07 10:44:10,1.1983,-70.1733,70.74,99,99,1.74
169,Eureka,US,2021-12-07 10:44:11,40.8021,-124.1637,50.63,97,82,2.71
170,Manta,EC,2021-12-07 10:44:12,-0.95,-80.7333,73.18,83,90,8.05
171,Lavrentiya,RU,2021-12-07 10:44:12,65.5833,-171.0,-0.26,84,99,5.99
172,Medea,DZ,2021-12-07 10:44:12,36.2642,2.7539,50.45,56,9,5.21
173,Uppsala,SE,2021-12-07 10:44:13,60.0,17.75,11.62,79,0,0.0
174,Hovd,MN,2021-12-07 10:44:13,48.0056,91.6419,19.89,55,100,1.25
175,The Pas,CA,2021-12-07 10:44:14,53.8251,-101.2541,-20.18,76,1,2.3
176,Ancud,CL,2021-12-07 10:44:15,-41.8697,-73.8203,58.23,90,97,10.36
177,Vestmannaeyjar,IS,2021-12-07 10:44:15,63.4427,-20.2734,36.59,55,20,10.36
178,Qaanaaq,GL,2021-12-07 10:44:16,77.484,-69.3632,16.2,74,98,9.06
179,Green River,US,2021-12-07 10:44:16,41.5286,-109.4662,39.15,68,49,6.82
180,Biak,ID,2021-12-07 10:44:17,-0.9131,122.8766,78.17,83,94,2.01
181,Beroroha,MG,2021-12-07 10:44:17,-21.6667,45.1667,108.52,15,0,1.03
182,Cayenne,GF,2021-12-07 10:44:18,4.9333,-52.3333,75.24,93,90,2.3
183,Lata,PT,2021-12-07 10:44:18,40.1629,-8.3327,58.08,88,99,9.66
184,Yellowknife,CA,2021-12-07 10:44:18,62.456,-114.3525,-16.71,76,1,9.22
185,Vittorio Veneto,IT,2021-12-07 10:45:19,45.9767,12.3033,46.44,44,7,2.44
186,Clyde River,CA,2021-12-07 10:41:11,70.4692,-68.5914,10.63,85,100,2.3
187,Shelburne,CA,2021-12-07 10:45:19,44.0787,-80.2041,23.85,91,37,14.32
188,Bethel,US,2021-12-07 10:45:20,41.3712,-73.414,39.56,64,1,1.01
189,Tumut,AU,2021-12-07 10:45:20,-35.3,148.2167,72.59,65,58,2.84
190,Anloga,GH,2021-12-07 10:45:21,5.7947,0.8973,88.02,71,77,8.46
